#Time 	l 	type 	elv 	b
10:22 	10 	norm 	11.4 	19
10:23	10	data	11.4	0
10:25	15	norm	13	19
10:26	15	data	16	0
10:29	20	norm	18	19
10:30	20	data	20	0
10:32	25	norm	21	18
10:33	25	data	25	0
10:38	30	norm	25	18
10:40	30	data	30	0
10:42	35	norm	30	19
10:43	35	data	33	0
10:46	40	norm	33	18
10:47	40	data	38	0
10:48	45	norm	36	18
10:50	45	data	42	0
10:52	50	norm	41	18
10:53	50	data	47	0
10:55	55	norm	44	18
10:57	55	data	51	0
10:59	60	norm	48	18
11:00	60	data	55	0
11:02	65	norm	50	17
11:04	65	data	59	0
11:06	70	norm	53	17
11:07	70	data	63	0
11:10	75	norm	54	18
11:11	75	data	67	0
11:13	80	norm	56	18
11:15	80	data	71	0
11:18	85	norm	59	18
11:19	85	data	74	0
11:21	90	norm	58	19
11:23	90	data	76	0
11:25	95	norm	57	20
11:26	95	data	77	0
11:28	100	norm	57	20
11:30	100	data	77	0
11:33	110	norm	58	16
11:34	110	data	73	0
11:42	130	norm	62	-15
11:43	130	data	57	0
11:45	140	norm	54	-16
11:47	140	data	49	0
11:48	150	norm	43	-19
11:50	150	data	40	0
11:52	160	norm	34	-21
11:53	160	data	31	0
11:55	170	norm	25	-18
11:56	170	data	22	0
11:58	180	norm	14	-19
11:59	180	data	13	0
12:01	190	norm	6	-20
12:02	190	data	4	0
12:09	120	norm	53	16
12:11	120	data	68	0













